cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
1988,46.20524463,46.87260325,46.01927620000001,South Dakota,1,1988,0.0,South Dakota,1
1988,40.01494567,39.92358075,40.827262,South Dakota,0,1988,1.0,South Dakota,0
1992,37.5481241,35.454028,39.94634457,South Dakota,0,1992,1.0,South Dakota,0
1992,32.39232648,33.008674,34.62977737,South Dakota,1,1992,0.0,South Dakota,1
1996,41.50374623,41.2155898,42.15980820000001,South Dakota,0,1996,1.0,South Dakota,0
1996,45.18964084,45.965075,45.4206566,South Dakota,1,1996,0.0,South Dakota,1
2000,33.04661629,33.39871429,33.32667909,South Dakota,0,2000,0.0,South Dakota,0
2000,55.7992929,55.80279186,55.127173,South Dakota,1,2000,1.0,South Dakota,1
2004,53.67898529,54.39088,53.98083477,South Dakota,1,2004,1.0,South Dakota,1
2004,38.29431371,38.163871,36.77491777,South Dakota,0,2004,0.0,South Dakota,0
2008,41.15414887,43.30385175,39.2538374,South Dakota,0,2008,1.0,South Dakota,0
2008,49.88315474,51.938736,49.6905093,South Dakota,1,2008,0.0,South Dakota,1
2012,37.90678587,40.05534233,37.8835915,South Dakota,0,2012,1.0,South Dakota,0
2012,53.21734632,52.9314735,51.80812279999999,South Dakota,1,2012,0.0,South Dakota,1
2016,46.22388258,50.7732425,45.736562,South Dakota,1,2016,1.0,South Dakota,1
2016,32.39108903,32.07469125,29.79168167,South Dakota,0,2016,0.0,South Dakota,0
2020,55.23259,54.33539333,53.826622,South Dakota,1,2020,1.0,South Dakota,1
2020,39.43482517,39.00967667,45.27252,South Dakota,0,2020,0.0,South Dakota,0
